年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10412(實價),透天厝,嘉義市嘉義市新生路576巷1~30號,17.2,5房/2廳/4衛,1 /共4層,113.28,46.08,--,--萬,6.9萬,780萬,600台灣嘉義市東區新生路576巷13號,23.4927773,120.4582527,太平里
10412(實價),透天厝,嘉義市嘉義市芳德街91~120號,21.4,3房/1廳/3衛,1 /共6層,56.92,12.58,--,--萬,7.8萬,446萬,600台灣嘉義市東區芳德街85號,23.4670915,120.4591368,頂寮里
10412(實價),店面(店鋪),嘉義市嘉義市垂楊路271~300號,51.5,3房/1廳/2衛,1 /共2層,47.04,29.04,--,--萬,25.5萬,1200萬,600台灣嘉義市西區垂楊路259-275號,23.4736238,120.4486772,導明里
10412(實價),華廈,嘉義市嘉義市大同路481~510號,21.3,4房/1廳/1衛,4 /共8層,55.78,6.23,--,--萬,6.8萬,380萬,600台灣嘉義市西區大同路481號,23.4759013,120.4225765,港坪里
10412(實價),透天厝,嘉義市嘉義市大富四街61~90號,10.8,4房/2廳/4衛,1 /共3層,54.84,33.73,--,--萬,15.5萬,850萬,600台灣嘉義市西區大富四街36-52號,23.4642592,120.4141203,劉厝里
10412(實價),華廈(含車位),嘉義市嘉義市北興街151~180號,22,0房/0廳/0衛,2 /共7層,224.16,46.71,--,--萬,5.8萬,1300萬,600台灣嘉義市西區博愛路一段562-5號,23.484206,120.441533,重興里
10412(實價),透天厝,嘉義市嘉義市下埤里2鄰頂埤1~30號,36.2,3房/2廳/2衛,1 /共2層,43.87,41.73,--,--萬,9.6萬,420萬,找不到位址,無,無,無
10412(實價),華廈,嘉義市嘉義市文雅街116巷31~60號,19.5,2房/2廳/2衛,9 /共9層,26.14,4.93,--,--萬,9萬,235萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里
10412(實價),華廈,嘉義市嘉義市世賢路四段350巷21弄1~30號,21.5,5房/1廳/2衛,2 /共10層,43.33,9.32,--,--萬,7.4萬,320萬,600台灣嘉義市西區世賢路四段350巷27弄1號,23.462494,120.4502358,美源里
10412(實價),透天厝(含車位),嘉義市嘉義市興仁街10巷1~30號,37.9,4房/1廳/3衛,1 /共2層,35.54,35.7,--,--萬,10.7萬,380萬,600台灣嘉義市東區興仁街10巷30號,23.4571039,120.4641799,興仁里
